he	en
# Hebrew is the key. An empty English column means: still shows Hebrew.
# Source order, so the strings of one screen sit together.

# ---- Ai.cs ----
לא הוגדר מפתח של גוגל. אפשר להזין אותו בהגדרות, תחת ״שירותים באינטרנט״.	No Google key is set. You can add one in Settings, under “Online services”.
המכסה היומית של המפתח החינמי נגמרה בכל הדגמים.\r\nהיא מתאפסת מחר. אפשר גם להפיק מפתח חדש בדף של גוגל.	The free key's daily quota has run out on every model.\r\nIt resets tomorrow. You can also create a new key on Google's page.
לא התקבלה תשובה מהשרת.	No answer came back from the server.
השרת החזיר תשובה לא צפויה: {0}	The server sent an unexpected answer: {0}
התשובה מהשרת ריקה.	The server's answer was empty.
המודל לא החזיר תשובה. נסו לנסח את הבקשה מחדש, או שוב בעוד רגע.	The model gave no answer. Try rephrasing the request, or try again in a moment.
התשובה נקטעה באמצע (הגבלת אורך). נסו בקשה קצרה יותר.	The answer was cut off (length limit). Try a shorter request.
גוגל חסמה את התוכן הזה. נסו ניסוח אחר.	Google blocked this content. Try different wording.
המודל לא החזיר תשובה. נסו לנסח אחרת.	The model gave no answer. Try rephrasing.
המודל לא החזיר תשובה ({0}). נסו לנסח אחרת.	The model gave no answer ({0}). Try rephrasing.
לא הצלחתי לקרוא את התשובה: {0}	Couldn't read the answer: {0}
(ריק)	(empty)
גוגל חסמה את הבקשה ({0}). נסו ניסוח אחר.	Google blocked the request ({0}). Try different wording.
הבקשה נדחתה. אם זו הפעם הראשונה - בדקו שהמפתח הועתק במלואו. ({0})	The request was rejected. If this is the first time, check that the whole key was copied. ({0})
המפתח לא תקף או שאין לו הרשאה. הפיקו מפתח חדש בדף של גוגל.	The key isn't valid or has no permission. Create a new key on Google's page.
404 - הדגם לא נמצא בחשבון הזה.	404 - this model isn't available on this account.
המכסה היומית של המפתח החינמי נגמרה - בכל הדגמים.\r\nהיא מתאפסת מחר. אפשר גם להפיק מפתח חדש בדף של גוגל.	The free key's daily quota has run out - on every model.\r\nIt resets tomorrow. You can also create a new key on Google's page.
המפתח החינמי מוגבל לכמה בקשות בדקה, והמכסה נגמרה כרגע. המתינו דקה ונסו שוב.	The free key allows only a few requests a minute, and they're used up for now. Wait a minute and try again.
השרת של גוגל עמוס כרגע. נסו שוב בעוד רגע.	Google's server is busy right now. Try again in a moment.
אין חיבור לאינטרנט, או שהחיבור נחסם. ({0})	No internet connection, or the connection is blocked. ({0})
דגם: {0}	Model: {0}
מפתח: {0} תווים	Key: {0} characters
מפתח: לא הוגדר	Key: not set
חיבור לשרת: תקין ({0})	Server connection: OK ({0})
חיבור לשרת: מגיע ({0})	Server connection: reachable ({0})
חיבור לשרת: נכשל - {0} - {1}	Server connection: failed - {0} - {1}
חיבור לשרת: שגיאה - {0}	Server connection: error - {0}
בקשה רגילה: עובדת	Plain request: works
בקשה רגילה: נכשלה - {0}	Plain request: failed - {0}
בקשה עם פעולות: עובדת	Request with actions: works
בקשה עם פעולות: נכשלה - {0}	Request with actions: failed - {0}
הדגם שענה: {0}	Model that answered: {0}
דגמים שהמכסה היומית שלהם נגמרה בהפעלה הזאת:	Models whose daily quota ran out in this session:
נשארו {0} דגמים מתוך {1}.	{0} of {1} models left.
כל {0} הדגמים עדיין זמינים.	All {0} models are still available.
אין שמע לתמלל.	There's no audio to transcribe.
התמלול חזר בפורמט לא צפוי.	The transcription came back in an unexpected format.
התמלול חזר בפורמט לא צפוי: {0}	The transcription came back in an unexpected format: {0}
התרגום חזר בפורמט לא צפוי.	The translation came back in an unexpected format.
התרגום חזר בפורמט לא צפוי: {0}	The translation came back in an unexpected format: {0}

# ---- AiHost.cs ----
פעולה לא מוכרת: {0}	Unknown action: {0}
אין כתובית מספר {0}	There's no subtitle number {0}
עריכה מהצ'אט	Edit from the chat
כתובית {0} עודכנה	Subtitle {0} updated
הוספה מהצ'אט	Add from the chat
נוספה כתובית ב-{0}	Subtitle added at {0}
טווח לא תקין	Invalid range
למחוק {0} כתוביות?	Delete {0} subtitles?
הצ'אט ביקש למחוק כתוביות {0}. אפשר לבטל אחר כך ב-Ctrl+Z.	The chat asked to delete subtitles {0}. You can undo it later with Ctrl+Z.
מחיקה	Delete
ביטול	Cancel
מחיקה מהצ'אט	Delete from the chat
נמחקו {0} כתוביות	Deleted {0} subtitles
לא צוין כמה להזיז	No amount to shift was given
אין כתוביות בטווח	No subtitles in that range
הזזה מהצ'אט	Shift from the chat
הוזזו {0} כתוביות ב-{1} שניות	Shifted {0} subtitles by {1} seconds
אין כתוביות	No subtitles
